"Pathway_Code","Pathway_Name","Gene"
"MAPK","MAPK signaling pathway","MAP2K6"
"MAPK","MAPK signaling pathway","MAP2K7"
"MAPK","MAPK signaling pathway","MAP3K1"
"MAPK","MAPK signaling pathway","MAP3K10"
"MAPK","MAPK signaling pathway","MAP3K11"
"MAPK","MAPK signaling pathway","MAP3K12"
"MAPK","MAPK signaling pathway","MAP3K13"
"MAPK","MAPK signaling pathway","MAP3K14"
"MAPK","MAPK signaling pathway","MAP3K2"
"MAPK","MAPK signaling pathway","MAP3K3"
"MAPK","MAPK signaling pathway","MAP3K4"
"MAPK","MAPK signaling pathway","MAP3K5"
"MAPK","MAPK signaling pathway","MAP3K6"
"MAPK","MAPK signaling pathway","MAP3K7"
"MAPK","MAPK signaling pathway","MAP3K8"
"MAPK","MAPK signaling pathway","MAP3K9"
"MAPK","MAPK signaling pathway","MAP4K1"
"MAPK","MAPK signaling pathway","MAP4K2"
"MAPK","MAPK signaling pathway","MAP4K3"
"MAPK","MAPK signaling pathway","MAP4K4"
"MAPK","MAPK signaling pathway","MAP4K5"
"MAPK","MAPK signaling pathway","MAPK1"
"MAPK","MAPK signaling pathway","MAPK10"
"MAPK","MAPK signaling pathway","MAPK11"
"MAPK","MAPK signaling pathway","MAPK12"
"MAPK","MAPK signaling pathway","MAPK13"
"MAPK","MAPK signaling pathway","MAPK14"
"MAPK","MAPK signaling pathway","MAPK3"
"MAPK","MAPK signaling pathway","MAPK4"
"MAPK","MAPK signaling pathway","MAPK6"
"MAPK","MAPK signaling pathway","MAPK7"
"MAPK","MAPK signaling pathway","MAPK8"
"MAPK","MAPK signaling pathway","MAPK9"
"MAPK","MAPK signaling pathway","MAPKAPK2"
"MAPK","MAPK signaling pathway","MAPKAPK3"
"MAPK","MAPK signaling pathway","MAPKAPK5"
"MAPK","MAPK signaling pathway","MAX"
"MAPK","MAPK signaling pathway","MKNK1"
"MAPK","MAPK signaling pathway","MKNK2"
"MAPK","MAPK signaling pathway","MYC"
"MAPK","MAPK signaling pathway","NFKB1"
"MAPK","MAPK signaling pathway","NFKBIA"
"MAPK","MAPK signaling pathway","PAK1"
"MAPK","MAPK signaling pathway","PAK2"
"MAPK","MAPK signaling pathway","RAC1"
"MAPK","MAPK signaling pathway","RAF1"
"MAPK","MAPK signaling pathway","RAPGEF2"
"MAPK","MAPK signaling pathway","RELA"
"MAPK","MAPK signaling pathway","RIPK1"
"MAPK","MAPK signaling pathway","RPS6KA1"
"MAPK","MAPK signaling pathway","RPS6KA2"
"MAPK","MAPK signaling pathway","RPS6KA3"
"MAPK","MAPK signaling pathway","RPS6KA4"
"MAPK","MAPK signaling pathway","RPS6KA5"
"MAPK","MAPK signaling pathway","RPS6KB1"
"MAPK","MAPK signaling pathway","RPS6KB2"
"MAPK","MAPK signaling pathway","SHC1"
"MAPK","MAPK signaling pathway","SP1"
"MAPK","MAPK signaling pathway","STAT1"
"MAPK","MAPK signaling pathway","TGFB1"
"MAPK","MAPK signaling pathway","TGFB2"
"MAPK","MAPK signaling pathway","TGFB3"
"MAPK","MAPK signaling pathway","TGFBR1"
"MAPK","MAPK signaling pathway","TRADD"
"MAPK","MAPK signaling pathway","TRAF2"
"BMP","BMP signaling pathway","ACVR2A"
"BMP","BMP signaling pathway","ACVR2B"
"BMP","BMP signaling pathway","ACVRL1"
"BMP","BMP signaling pathway","AMH"
"BMP","BMP signaling pathway","AMHR2"
"BMP","BMP signaling pathway","BMP10"
"BMP","BMP signaling pathway","BMP2"
"BMP","BMP signaling pathway","BMPR1A"
"BMP","BMP signaling pathway","BMPR1B"
"BMP","BMP signaling pathway","BMPR2"
"BMP","BMP signaling pathway","CER1"
"BMP","BMP signaling pathway","CHRDL1"
"BMP","BMP signaling pathway","FSTL1"
"BMP","BMP signaling pathway","GDF2"
"BMP","BMP signaling pathway","GREM2"
"BMP","BMP signaling pathway","INHA"
"BMP","BMP signaling pathway","INHBA"
"BMP","BMP signaling pathway","NOG"
"BMP","BMP signaling pathway","SKI"
"BMP","BMP signaling pathway","SMAD1"
"BMP","BMP signaling pathway","SMAD4"
"BMP","BMP signaling pathway","SMAD5"
"BMP","BMP signaling pathway","SMAD6"
"BMP","BMP signaling pathway","SMAD7"
"BMP","BMP signaling pathway","SMAD9"
"BMP","BMP signaling pathway","SMURF1"
"BMP","BMP signaling pathway","SMURF2"
"BMP","BMP signaling pathway","TGFBR3"
"BMP","BMP signaling pathway","UBE2D1"
"BMP","BMP signaling pathway","UBE2D3"
"BMP","BMP signaling pathway","ZFYVE16"
"p53","p53 signaling pathway","ABAT"
"p53","p53 signaling pathway","ABCC5"
"p53","p53 signaling pathway","ABHD4"
"p53","p53 signaling pathway","ACVR1B"
"p53","p53 signaling pathway","ADA"
"p53","p53 signaling pathway","AEN"
"p53","p53 signaling pathway","AK1"
"p53","p53 signaling pathway","ALOX15B"
"p53","p53 signaling pathway","ANKRA2"
"p53","p53 signaling pathway","APAF1"
"p53","p53 signaling pathway","APP"
"p53","p53 signaling pathway","ATF3"
"p53","p53 signaling pathway","BAIAP2"
"p53","p53 signaling pathway","BAK1"
"p53","p53 signaling pathway","BAX"
"p53","p53 signaling pathway","BLCAP"
"p53","p53 signaling pathway","BMP2"
"p53","p53 signaling pathway","BTG1"
"p53","p53 signaling pathway","BTG2"
"p53","p53 signaling pathway","CASP1"
"p53","p53 signaling pathway","CCND2"
"p53","p53 signaling pathway","CCND3"
"p53","p53 signaling pathway","CCNG1"
"p53","p53 signaling pathway","CCNK"
"p53","p53 signaling pathway","CCP110"
"p53","p53 signaling pathway","CD81"
"p53","p53 signaling pathway","CD82"
